cycle,cycle_dt_us,work_dt_us,q_ideal_deg,q_send_deg,q_meas_deg,error_deg,gap_deg,drift_deg
222,998.3,306.4,91.5468,91.5530,91.4608,0.0860,0.0921,0.0062
223,1000.2,286.3,91.5528,91.5590,91.4669,0.0859,0.0921,0.0062
224,1000.1,271.6,91.5589,91.5650,91.4732,0.0857,0.0918,0.0062
225,1001.3,262.2,91.5649,91.5711,91.4798,0.0851,0.0912,0.0062
226,998.8,278.1,91.5709,91.5771,91.4860,0.0849,0.0911,0.0062
227,999.2,254.4,91.5770,91.5831,91.4922,0.0848,0.0909,0.0062
228,1000.0,282.0,91.5830,91.5891,91.4984,0.0846,0.0907,0.0062
229,999.9,255.0,91.5890,91.5952,91.5053,0.0837,0.0899,0.0062
230,1000.1,247.5,91.5950,91.6012,91.5117,0.0833,0.0895,0.0062
231,1000.0,274.5,91.6011,91.6072,91.5181,0.0830,0.0891,0.0062
232,1000.8,255.5,91.6071,91.6132,91.5241,0.0829,0.0891,0.0062
233,999.3,257.9,91.6131,91.6192,91.5304,0.0827,0.0888,0.0061
234,999.9,265.4,91.6191,91.6253,91.5362,0.0829,0.0890,0.0061
235,999.6,241.5,91.6251,91.6313,91.5422,0.0829,0.0891,0.0061
236,1001.3,264.4,91.6311,91.6373,91.5482,0.0829,0.0890,0.0061
237,1000.0,271.2,91.6371,91.6433,91.5550,0.0822,0.0883,0.0061
238,999.2,260.0,91.6431,91.6493,91.5613,0.0818,0.0880,0.0061
239,999.9,263.7,91.6492,91.6553,91.5676,0.0816,0.0877,0.0061
240,1000.6,270.6,91.6552,91.6613,91.5738,0.0814,0.0875,0.0061
241,1000.5,263.1,91.6612,91.6673,91.5806,0.0806,0.0867,0.0061
242,998.7,264.2,91.6671,91.6733,91.5869,0.0802,0.0864,0.0061
243,1000.2,349.9,91.6731,91.6793,91.5936,0.0795,0.0856,0.0061
244,1000.1,371.7,91.6791,91.6853,91.6006,0.0786,0.0847,0.0061
245,999.6,285.9,91.6851,91.6913,91.6079,0.0773,0.0834,0.0061
246,1000.3,275.7,91.6911,91.6972,91.6145,0.0766,0.0827,0.0061
247,1001.2,276.3,91.6971,91.7032,91.6210,0.0761,0.0822,0.0061
248,999.2,273.0,91.7031,91.7092,91.6275,0.0755,0.0817,0.0061
249,999.7,271.9,91.7091,91.7152,91.6346,0.0744,0.0806,0.0061
250,1000.0,267.5,91.7150,91.7212,91.6410,0.0740,0.0802,0.0061
251,1000.5,275.4,91.7210,91.7271,91.6473,0.0737,0.0799,0.0061
252,1000.6,270.1,91.7270,91.7331,91.6533,0.0737,0.0798,0.0061
253,999.9,263.8,91.7329,91.7391,91.6595,0.0734,0.0795,0.0061
254,1002.8,274.6,91.7389,91.7450,91.6651,0.0738,0.0799,0.0061
255,996.2,260.6,91.7449,91.7510,91.6704,0.0744,0.0806,0.0061
256,1003.9,269.1,91.7508,91.7570,91.6759,0.0750,0.0811,0.0061
257,996.7,269.3,91.7568,91.7629,91.6819,0.0749,0.0810,0.0061
258,1000.1,253.8,91.7628,91.7689,91.6876,0.0751,0.0813,0.0061
259,999.3,256.7,91.7687,91.7748,91.6932,0.0755,0.0817,0.0061
260,999.9,268.7,91.7747,91.7808,91.6987,0.0760,0.0821,0.0061
