cycle,cycle_dt_us,work_dt_us,q_ideal_deg,q_send_deg,q_meas_deg,error_deg,gap_deg,drift_deg
180,1007.1,351.7,91.2014,91.2076,91.1132,0.0881,0.0943,0.0062
181,996.3,696.4,91.2075,91.2137,91.1205,0.0870,0.0932,0.0062
182,997.4,358.8,91.2136,91.2198,91.1273,0.0863,0.0925,0.0062
183,1001.5,389.8,91.2197,91.2259,91.1339,0.0859,0.0921,0.0062
184,998.2,681.3,91.2258,91.2320,91.1404,0.0855,0.0917,0.0062
185,999.5,324.4,91.2320,91.2382,91.1472,0.0847,0.0909,0.0062
186,1005.7,381.3,91.2381,91.2443,91.1535,0.0846,0.0908,0.0062
187,994.1,727.4,91.2442,91.2504,91.1598,0.0844,0.0906,0.0062
188,1001.9,372.5,91.2503,91.2565,91.1663,0.0840,0.0902,0.0062
189,999.3,391.2,91.2564,91.2626,91.1735,0.0830,0.0891,0.0062
190,1000.3,376.2,91.2625,91.2687,91.1802,0.0823,0.0885,0.0062
191,999.8,400.3,91.2686,91.2748,91.1870,0.0816,0.0878,0.0062
192,1000.0,392.2,91.2747,91.2809,91.1938,0.0809,0.0871,0.0062
193,1000.0,431.6,91.2808,91.2870,91.2011,0.0797,0.0859,0.0062
194,1000.3,412.2,91.2869,91.2931,91.2081,0.0788,0.0850,0.0062
195,1001.0,426.4,91.2930,91.2992,91.2149,0.0781,0.0843,0.0062
196,999.4,394.8,91.2991,91.3053,91.2217,0.0774,0.0835,0.0062
197,1001.6,396.4,91.3052,91.3114,91.2288,0.0764,0.0826,0.0062
198,1000.2,406.9,91.3113,91.3175,91.2353,0.0760,0.0822,0.0062
199,999.3,400.1,91.3174,91.3236,91.2417,0.0757,0.0819,0.0062
200,1001.2,372.3,91.3235,91.3297,91.2481,0.0754,0.0816,0.0062
201,1002.0,391.9,91.3296,91.3357,91.2549,0.0746,0.0808,0.0062
202,996.1,389.6,91.3356,91.3418,91.2613,0.0744,0.0806,0.0062
203,1000.1,354.7,91.3417,91.3479,91.2674,0.0743,0.0805,0.0062
204,1001.1,395.1,91.3478,91.3540,91.2733,0.0745,0.0807,0.0062
205,999.5,380.2,91.3539,91.3601,91.2796,0.0742,0.0804,0.0062
206,997.5,392.3,91.3599,91.3661,91.2856,0.0744,0.0805,0.0062
207,999.6,387.6,91.3660,91.3722,91.2916,0.0744,0.0806,0.0062
208,1000.2,373.7,91.3721,91.3783,91.2977,0.0744,0.0805,0.0062
209,1001.1,409.4,91.3782,91.3843,91.3042,0.0739,0.0801,0.0062
210,1000.8,400.3,91.3842,91.3904,91.3102,0.0740,0.0802,0.0062
211,999.4,372.0,91.3903,91.3965,91.3162,0.0741,0.0803,0.0062
212,999.8,380.2,91.3964,91.4025,91.3221,0.0742,0.0804,0.0062
213,999.9,407.8,91.4024,91.4086,91.3295,0.0730,0.0791,0.0062
214,1000.5,401.2,91.4085,91.4146,91.3355,0.0730,0.0791,0.0062
215,999.9,381.9,91.4145,91.4207,91.3416,0.0730,0.0791,0.0062
216,1000.8,362.8,91.4206,91.4267,91.3481,0.0725,0.0787,0.0062
217,1002.3,391.9,91.4266,91.4328,91.3540,0.0727,0.0788,0.0062
218,999.5,415.8,91.4327,91.4388,91.3595,0.0731,0.0793,0.0062
219,998.9,683.3,91.4387,91.4449,91.3651,0.0736,0.0798,0.0062
220,998.6,451.7,91.4448,91.4509,91.3708,0.0740,0.0801,0.0062
221,1001.8,391.9,91.4508,91.4570,91.3771,0.0737,0.0798,0.0062
222,1000.5,654.8,91.4569,91.4630,91.3830,0.0738,0.0800,0.0062
223,998.5,419.4,91.4629,91.4691,91.3889,0.0740,0.0802,0.0062
224,1000.3,417.9,91.4689,91.4751,91.3944,0.0746,0.0807,0.0062
225,1000.3,693.8,91.4750,91.4811,91.4001,0.0749,0.0810,0.0062
226,999.3,374.3,91.4810,91.4872,91.4054,0.0756,0.0818,0.0062
227,997.9,386.7,91.4870,91.4932,91.4107,0.0763,0.0825,0.0062
228,1000.6,365.5,91.4931,91.4992,91.4162,0.0768,0.0830,0.0062
229,999.6,345.3,91.4991,91.5052,91.4162,0.0829,0.0890,0.0062
230,998.9,362.4,91.5051,91.5113,91.4223,0.0828,0.0889,0.0062
231,1002.8,668.2,91.5111,91.5173,91.4281,0.0830,0.0892,0.0062
232,999.9,364.9,91.5172,91.5233,91.4343,0.0829,0.0890,0.0062
233,999.9,379.6,91.5232,91.5293,91.4400,0.0831,0.0893,0.0061
234,999.8,354.7,91.5292,91.5353,91.4459,0.0833,0.0894,0.0061
235,1000.1,356.7,91.5352,91.5413,91.4525,0.0827,0.0889,0.0061
236,1000.3,385.1,91.5412,91.5474,91.4587,0.0825,0.0887,0.0061
237,999.6,666.9,91.5472,91.5534,91.4650,0.0822,0.0884,0.0061
238,999.9,386.0,91.5532,91.5594,91.4714,0.0818,0.0879,0.0061
239,1001.9,360.0,91.5592,91.5654,91.4784,0.0809,0.0870,0.0061
240,1000.1,350.9,91.5652,91.5714,91.4847,0.0805,0.0866,0.0061
241,1000.7,368.5,91.5712,91.5774,91.4911,0.0802,0.0863,0.0061
242,1000.9,363.2,91.5772,91.5834,91.4974,0.0798,0.0859,0.0061
243,997.6,718.4,91.5832,91.5894,91.5045,0.0787,0.0849,0.0061
244,998.0,384.0,91.5892,91.5953,91.5109,0.0783,0.0844,0.0061
245,999.9,409.7,91.5952,91.6013,91.5172,0.0780,0.0841,0.0061
246,1000.3,709.6,91.6012,91.6073,91.5234,0.0777,0.0839,0.0061
247,999.9,397.4,91.6072,91.6133,91.5300,0.0772,0.0833,0.0061
248,1000.0,403.4,91.6131,91.6193,91.5359,0.0772,0.0834,0.0061
249,999.7,711.0,91.6191,91.6253,91.5419,0.0772,0.0833,0.0061
